phase,scale,thermal_camera,door_opening,plant,note
phase0,,20210309_150329_R,2021-03-09 14:02:42,,opened
phase0,,20210309_150429_R,2021-03-09 14:03:48,,closed
phase0,,20210309_150729_R,2021-03-09 14:07:10,,opened
phase0,,20210309_150829_R,2021-03-09 14:07:44,,closed
phase0,,20210309_151629_R,2021-03-09 14:16:18,,opened
phase0,,20210309_151729_R,2021-03-09 14:17:02,,closed
phase0,,20210309_152129_R,2021-03-09T14:21:42,,closed (opening right after)
phase0,,20210309_152430_R,2021-03-09T14:24:06,,opened right before (now closed)
phase0,,20210309_171649_R,2021-03-09 16:17:20,,closed (opening right after)
phase0,,20210309_171750_R,2021-03-09 16:17:30,,opened right before (now closed)
phase1,2021-03-15T12:27:20,20210315_133112_R,2021-03-15 12:31:47,P5,out
phase1,2021-03-15T14:43:59,20210315_154603_R,2021-03-15 14:46:35,P1,in
phase1,,20210315_154804_R,2021-03-15 14:48:25,P1,close chamber
phase1,,20210315_160204_R,2021-03-15 15:01:41,P1,open chamber
phase1,,20210315_160504_R,2021-03-15 15:04:47,P1,close chamber
phase1,,20210315_161104_R,2021-03-15 15:10:45,P1,open chamber
phase1,,20210315_161304_R,2021-03-15 15:12:47,P1,close chamber
phase2,2021-03-18T16:28:27,20210318_173206_R,2021-03-18 16:32:21,P1,out (open chamber)
phase2,2021-03-18T16:28:58,20210318_173306_R,2021-03-18 16:33:49,P2,in (closed chamber)
phase2,,20210318_175106_R,2021-03-18 16:51:21,P2,in (open chamber)
phase2,,20210318_175306_R,2021-03-18 16:52:59,P2,in (closed chamber)
phase2,,20210322_155237_R,2021-03-22 14:53:15,P2,out (open chamber)
phase2,2021-03-22T14:50:29,20210322_155437_R,2021-03-22 14:54:43,P2,out (closed chamber)
phase2,2021-03-22T15:04:50,20210322_160737_R,2021-03-22 15:08:05,P3,in (opened chamber)
phase2,,20210322_160837_R,2021-03-22 15:09:23,P3,closed chamber
phase2,,20210326_125514_R,2021-03-26 11:56:03,P3,opened chamber
phase2,2021-03-26T11:51:57,20210326_125614_R,2021-03-26 11:56:37,P3,out (closed chamber)
phase2,2021-03-26T13:54:00,20210326_145717_R,2021-03-26 13:57:37,P5,in (opened chamber)
phase2,,20210326_145917_R,2021-03-26 13:59:27,P5,closed chamber
phase3,,20210330_125357_R,2021-03-30 11:53:43,P5,opened chamber
phase3,2021-03-30T11:51:00,20210330_125457_R,2021-03-30 11:54:05,P5,out (closed chamber)
phase3,2021-03-30T13:19:55,20210330_142458_R,2021-03-30 13:24:01,P1,in (closed chamber)
phase3,,20210331_104118_R,2021-03-31 09:41:35,P1,opened chamber
phase3,2021-03-31T09:39:04,20210331_104218_R,,P1,opened chamber
phase3,2021-03-31T09:43:37,20210331_104718_R,,P1,opened chamber
phase3,,20210331_104818_R,2021-03-31 09:49:17,P1, closed chamber
phase3,2021-04-02T13:55:22,20210402_145908_R,2021-04-02 13:59:55,P1, out (opened chamber)
phase3,2021-04-02T14:18:15,20210402_152208_R,2021-04-02 14:23:19,P5, in (opened chamber)
phase3,,20210407_084458_R,2021-04-07 07:44:11,P5, opened chamber
phase3,,20210408_080521_R,2021-04-08 07:06:35,P5, opened chamber
phase3,2021-04-08T07:02:38,20210408_080621_R,2021-04-08 07:07:09,P5, out (closed chamber)
phase4,2021-04-12T10:52:59,20210413_123825_R,,P2, out (closed chamber)
phase4,2021-04-12T10:55:58,20210413_124125_R,2021-04-13 11:51:03,P3, in (opened chamber)
phase4,2021-04-12T10:57:01,20210413_124225_R,,P3, out (closed chamber)
phase4,2021-04-12T12:49:51,20210413_143327_R,2021-04-13 13:34:33,P3, in (opened chamber)
phase4,2021-04-12T13:02:43,20210413_144827_R,2021-04-13 13:48:37,P3, on the side (opened chamber)
phase4,2021-04-12T13:14:16,20210413_145327_R,2021-04-13 13:53:31,P3, in (opened chamber)
