"","DateTime","ouverture_porte","Mic"
"1","2021-03-01 13:20:00",0,"Mic03"
"2","2021-03-01 14:57:20",1,"Mic03"
"3","2021-03-01 15:05:34",0,"Mic03"
"4","2021-03-01 15:22:30",1,"Mic03"
"5","2021-03-01 15:26:22",0,"Mic03"
"6","2021-03-01 15:30:38",1,"Mic03"
"7","2021-03-01 15:34:50",0,"Mic03"
"8","2021-03-01 16:13:40",1,"Mic03"
"9","2021-03-01 16:14:46",0,"Mic03"
"10","2021-03-01 16:15:20",1,"Mic03"
"11","2021-03-01 16:19:21",0,"Mic03"
"12","2021-03-01 16:23:26",1,"Mic03"
"13","2021-03-01 16:23:48",0,"Mic03"
"14","2021-03-01 16:24:32",1,"Mic03"
"15","2021-03-01 16:25:28",0,"Mic03"
"16","2021-03-01 16:29:24",1,"Mic03"
"17","2021-03-01 16:30:08",0,"Mic03"
"18","2021-03-01 16:30:20",1,"Mic03"
"19","2021-03-01 16:33:46",0,"Mic03"
"20","2021-03-05 08:24:30",1,"Mic03"
"21","2021-03-05 08:24:42",0,"Mic03"
"22","2021-03-05 08:25:50",1,"Mic03"
"23","2021-03-05 08:26:34",0,"Mic03"
"24","2021-03-05 08:35:08",1,"Mic03"
"25","2021-03-05 08:37:20",0,"Mic03"
"26","2021-03-05 08:39:34",1,"Mic03"
"27","2021-03-05 08:39:56",0,"Mic03"
"28","2021-03-05 08:40:20",1,"Mic03"
"29","2021-03-05 08:44:32",0,"Mic03"
"30","2021-03-05 08:46:48",1,"Mic03"
"31","2021-03-05 08:47:10",0,"Mic03"
"32","2021-03-05 08:49:02",1,"Mic03"
"33","2021-03-05 08:49:24",0,"Mic03"
"34","2021-03-05 08:51:28",1,"Mic03"
"35","2021-03-05 08:52:34",0,"Mic03"
"36","2021-03-05 08:54:02",1,"Mic03"
"37","2021-03-05 08:54:26",0,"Mic03"
"38","2021-03-05 08:55:10",1,"Mic03"
"39","2021-03-05 08:56:06",0,"Mic03"
"40","2021-03-05 08:57:12",1,"Mic03"
"41","2021-03-05 08:57:24",0,"Mic03"
"42","2021-03-05 15:59:58",1,"Mic03"
"43","2021-03-05 16:00:42",0,"Mic03"
"44","2021-03-08 08:19:50",1,"Mic03"
"45","2021-03-08 08:20:35",0,"Mic03"
"46","2021-03-08 08:35:08",1,"Mic03"
"47","2021-03-08 08:35:20",0,"Mic03"
"48","2021-03-08 16:17:06",1,"Mic03"
"49","2021-03-08 16:19:30",0,"Mic03"
"50","2021-03-08 16:37:26",1,"Mic03"
"51","2021-03-08 16:39:06",0,"Mic03"
"52","2021-03-08 16:49:00",1,"Mic03"
"53","2021-03-08 16:50:38",0,"Mic03"
"54","2021-03-08 16:51:22",1,"Mic03"
"55","2021-03-08 16:52:18",0,"Mic03"
"56","2021-03-09 13:09:02",1,"Mic03"
"57","2021-03-09 13:19:10",0,"Mic03"
"58","2021-03-09 13:19:20",1,"Mic03"
"59","2021-03-09 13:21:34",0,"Mic03"
"60","2021-03-09 13:23:14",1,"Mic03"
"61","2021-03-09 13:23:24",0,"Mic03"
"62","2021-03-09 13:24:10",1,"Mic03"
"63","2021-03-09 13:24:54",0,"Mic03"
"64","2021-03-09 13:27:54",1,"Mic03"
"65","2021-03-09 13:28:48",0,"Mic03"
"66","2021-03-09 13:30:08",1,"Mic03"
"67","2021-03-09 13:30:30",0,"Mic03"
"68","2021-03-09 13:31:36",1,"Mic03"
"69","2021-03-09 13:33:04",0,"Mic03"
"70","2021-03-09 13:38:06",1,"Mic03"
"71","2021-03-09 13:44:00",0,"Mic03"
"72","2021-03-09 13:45:07",1,"Mic03"
"73","2021-03-09 13:54:52",0,"Mic03"
"74","2021-03-09 13:55:36",1,"Mic03"
"75","2021-03-09 13:55:48",0,"Mic03"
"76","2021-03-09 13:58:14",1,"Mic03"
"77","2021-03-09 13:58:26",0,"Mic03"
"78","2021-03-09 13:59:00",1,"Mic03"
"79","2021-03-09 13:59:22",0,"Mic03"
"80","2021-03-09 14:00:06",1,"Mic03"
"81","2021-03-09 14:01:12",0,"Mic03"
"82","2021-03-09 14:02:42",1,"Mic03"
"83","2021-03-09 14:03:48",0,"Mic03"
"84","2021-03-09 14:07:10",1,"Mic03"
"85","2021-03-09 14:07:44",0,"Mic03"
"86","2021-03-09 14:16:18",1,"Mic03"
"87","2021-03-09 14:17:02",0,"Mic03"
"88","2021-03-09 14:21:42",1,"Mic03"
"89","2021-03-09 14:24:06",0,"Mic03"
"90","2021-03-09 16:17:20",1,"Mic03"
"91","2021-03-09 16:17:30",0,"Mic03"
"92","2021-03-11 15:40:40",1,"Mic03"
"93","2021-03-11 15:41:12",0,"Mic03"
"94","2021-03-11 15:41:36",1,"Mic03"
"95","2021-03-11 15:42:30",0,"Mic03"
"96","2021-03-11 15:46:14",1,"Mic03"
"97","2021-03-11 15:46:48",0,"Mic03"
"98","2021-03-11 15:58:46",1,"Mic03"
"99","2021-03-11 16:01:08",0,"Mic03"
"100","2021-03-11 16:02:06",1,"Mic03"
"101","2021-03-11 16:02:50",0,"Mic03"
"102","2021-03-11 16:18:10",1,"Mic03"
"103","2021-03-11 16:18:32",0,"Mic03"
"104","2021-03-11 16:19:38",1,"Mic03"
"105","2021-03-11 16:20:02",0,"Mic03"
"106","2021-03-11 16:26:20",1,"Mic03"
"107","2021-03-11 16:26:32",0,"Mic03"
"108","2021-03-15 12:31:47",1,"Mic03"
"109","2021-03-15 12:32:11",0,"Mic03"
"110","2021-03-15 13:52:21",1,"Mic03"
"111","2021-03-15 13:52:43",0,"Mic03"
"112","2021-03-15 14:02:33",1,"Mic03"
"113","2021-03-15 14:03:07",0,"Mic03"
"114","2021-03-15 14:24:23",1,"Mic03"
"115","2021-03-15 14:32:37",0,"Mic03"
"116","2021-03-15 14:46:35",1,"Mic03"
"117","2021-03-15 14:48:25",0,"Mic03"
"118","2021-03-15 15:01:41",1,"Mic03"
"119","2021-03-15 15:04:49",0,"Mic03"
"120","2021-03-15 15:10:45",1,"Mic03"
"121","2021-03-15 15:12:47",0,"Mic03"
"122","2021-03-18 16:32:21",1,"Mic03"
"123","2021-03-18 16:33:49",0,"Mic03"
