Date;Scenario
02/03/2021;400ppm
03/03/2021;Cloudy
04/03/2021;600ppm
05/03/2021;400ppm
06/03/2021;Cloudy
07/03/2021;600ppm
09/03/2021;400ppm
10/03/2021;Cloudy
11/03/2021;400ppm
12/03/2021;400ppm
13/03/2021;Cloudy
14/03/2021;600ppm
15/03/2021;400ppm
16/03/2021;400ppm
17/03/2021;Cloudy
18/03/2021;600ppm
19/03/2021;400ppm
20/03/2021;Cloudy
21/03/2021;600ppm
22/03/2021;400ppm
23/03/2021;400ppm
24/03/2021;Cloudy
25/03/2021;600ppm
26/03/2021;400ppm
27/03/2021;Cold
28/03/2021;800ppm
29/03/2021;DryCold
30/03/2021;400ppm
31/03/2021;Cold
01/04/2021;800ppm
02/04/2021;DryCold
03/04/2021;Cold
04/04/2021;800ppm
05/04/2021;DryCold
06/04/2021;Hot
07/04/2021;DryHot
08/04/2021;Cold
09/04/2021;800ppm
10/04/2021;DryCold
11/04/2021;Hot
12/04/2021;DryHot
13/04/2021;400ppm
14/04/2021;Cold
15/04/2021;800ppm
16/04/2021;DryCold
17/04/2021;Hot
18/04/2021;DryHot
19/04/2021;400ppm
20/04/2021;400ppm
21/04/2021;Cold
22/04/2021;Hot
23/04/2021;DryHot
24/04/2021;Hot
25/04/2021;DryHot
26/04/2021;400ppm
27/04/2021;TestLight
28/04/2021;TestLight
29/04/2021;TestLight
30/04/2021;TestLight
01/05/2021;DryCold
02/05/2021;600ppm
03/05/2021;600ppm
