waveLength(nm);irradiance(microW/cm2/nm)
350,17;-6,785
350,62;-6,719
351,06;-6,644
351,51;-6,589
351,95;-6,553
352,4;-6,525
352,85;-6,468
353,29;-6,444
353,74;-6,376
354,18;-6,299
354,63;-6,187
355,07;-6,082
355,52;-6,002
355,96;-5,936
356,41;-5,850
356,85;-5,790
357,3;-5,702
357,74;-5,614
358,19;-5,536
358,63;-5,464
359,08;-5,396
359,52;-5,301
359,97;-5,216
360,41;-5,161
360,86;-5,100
361,3;-5,050
361,75;-4,967
362,19;-4,866
362,64;-4,795
363,08;-4,703
363,53;-4,588
363,97;-4,509
364,42;-4,373
364,86;-4,268
365,3;-4,161
365,75;-4,063
366,19;-3,935
366,64;-3,810
367,08;-3,637
367,53;-3,494
367,97;-3,300
368,41;-3,103
368,86;-2,867
369,3;-2,610
369,75;-2,315
370,19;-1,984
370,63;-1,590
371,08;-1,169
371,52;-0,680
371,96;-0,124
372,41;0,478
372,85;1,120
373,3;1,805
373,74;2,530
374,18;3,309
374,63;4,106
375,07;4,928
375,51;5,780
375,96;6,651
376,4;7,531
376,84;8,398
377,29;9,256
377,73;10,060
378,17;10,876
378,61;11,623
379,06;12,348
379,5;13,105
379,94;13,813
380,39;14,536
380,83;15,237
381,27;15,921
381,71;16,621
382,16;17,258
382,6;17,847
383,04;18,417
383,48;18,899
383,93;19,285
384,37;19,574
384,81;19,805
385,25;19,979
385,7;19,890
386,14;19,772
386,58;19,476
387,02;19,109
387,47;18,717
387,91;18,281
388,35;17,732
388,79;17,323
389,23;16,878
389,68;16,528
390,12;16,248
390,56;16,048
391;15,912
391,44;15,940
391,88;16,037
392,33;16,215
392,77;16,495
393,21;16,902
393,65;17,381
394,09;17,911
394,53;18,488
394,97;19,066
395,42;19,761
395,86;20,444
396,3;21,136
396,74;21,783
397,18;22,440
397,62;22,972
398,06;23,470
398,5;23,836
398,94;24,173
399,39;24,302
399,83;24,354
400,27;24,171
400,71;23,990
401,15;23,690
401,59;23,263
402,03;22,616
402,47;21,923
402,91;21,181
403,35;20,412
403,79;19,626
404,23;18,762
404,67;17,903
405,11;17,132
405,55;16,423
405,99;15,719
406,43;15,139
406,87;14,568
407,31;14,136
407,75;13,782
408,19;13,516
408,63;13,299
409,07;13,185
409,51;13,157
409,95;13,201
410,39;13,333
410,83;13,542
411,27;13,813
411,71;14,166
412,15;14,574
412,59;15,015
413,03;15,515
413,47;16,029
413,91;16,581
414,35;17,165
414,79;17,757
415,23;18,387
415,67;19,054
416,1;19,724
416,54;20,337
416,98;20,922
417,42;21,460
417,86;22,023
418,3;22,476
418,74;22,880
419,18;23,209
419,62;23,539
420,05;23,771
420,49;23,945
420,93;24,028
421,37;24,030
421,81;23,948
422,25;23,806
422,69;23,596
423,12;23,336
423,56;23,038
424;22,669
424,44;22,276
424,88;21,901
425,31;21,497
425,75;21,071
426,19;20,675
426,63;20,288
427,07;19,927
427,5;19,611
427,94;19,294
428,38;19,008
428,82;18,773
429,26;18,544
429,69;18,380
430,13;18,254
430,57;18,169
431,01;18,092
431,44;18,068
431,88;18,063
432,32;18,129
432,76;18,217
433,19;18,350
433,63;18,509
434,07;18,741
434,5;18,986
434,94;19,280
435,38;19,615
435,82;19,971
436,25;20,348
436,69;20,791
437,13;21,277
437,56;21,795
438;22,401
438,44;23,026
438,87;23,681
439,31;24,387
439,75;25,109
440,18;25,870
440,62;26,662
441,06;27,427
441,49;28,225
441,93;29,011
442,37;29,793
442,8;30,595
443,24;31,311
443,67;31,971
444,11;32,590
444,55;33,172
444,98;33,658
445,42;34,047
445,85;34,306
446,29;34,484
446,73;34,541
447,16;34,477
447,6;34,273
448,03;33,952
448,47;33,563
448,9;33,037
449,34;32,408
449,77;31,682
450,21;30,882
450,65;30,006
451,08;29,091
451,52;28,122
451,95;27,129
452,39;26,135
452,82;25,173
453,26;24,218
453,69;23,306
454,13;22,415
454,56;21,539
455;20,726
455,43;19,960
455,87;19,269
456,3;18,591
456,74;17,984
457,17;17,438
457,6;16,966
458,04;16,505
458,47;16,079
458,91;15,680
459,34;15,339
459,78;15,028
460,21;14,749
460,65;14,491
461,08;14,276
461,51;14,109
461,95;13,971
462,38;13,840
462,82;13,730
463,25;13,648
463,68;13,579
464,12;13,526
464,55;13,493
464,99;13,489
465,42;13,518
465,85;13,562
466,29;13,630
466,72;13,709
467,15;13,816
467,59;13,935
468,02;14,075
468,45;14,230
468,89;14,405
469,32;14,585
469,75;14,784
470,19;14,997
470,62;15,201
471,05;15,399
471,49;15,606
471,92;15,792
472,35;15,979
472,78;16,159
473,22;16,330
473,65;16,497
474,08;16,627
474,52;16,749
474,95;16,854
475,38;16,939
475,81;16,996
476,25;17,012
476,68;17,001
477,11;16,985
477,54;16,921
477,98;16,850
478,41;16,748
478,84;16,646
479,27;16,536
479,7;16,418
480,14;16,291
480,57;16,162
481;16,023
481,43;15,899
481,86;15,772
482,3;15,663
482,73;15,580
483,16;15,503
483,59;15,450
484,02;15,425
484,45;15,418
484,89;15,442
485,32;15,490
485,75;15,558
486,18;15,666
486,61;15,804
487,04;15,962
487,47;16,159
487,9;16,365
488,34;16,604
488,77;16,868
489,2;17,146
489,63;17,449
490,06;17,778
490,49;18,100
490,92;18,443
491,35;18,795
491,78;19,155
492,21;19,514
492,64;19,881
493,07;20,239
493,51;20,604
493,94;20,962
494,37;21,300
494,8;21,630
495,23;21,948
495,66;22,246
496,09;22,525
496,52;22,787
496,95;23,040
497,38;23,266
497,81;23,470
498,24;23,650
498,67;23,805
499,1;23,938
499,53;24,051
499,96;24,127
500,39;24,178
500,82;24,219
501,25;24,223
501,68;24,209
502,1;24,166
502,53;24,095
502,96;24,008
503,39;23,909
503,82;23,775
504,25;23,647
504,68;23,498
505,11;23,338
505,54;23,172
505,97;23,005
506,4;22,823
506,83;22,640
507,26;22,431
507,68;22,225
508,11;22,018
508,54;21,820
508,97;21,608
509,4;21,411
509,83;21,208
510,26;21,027
510,68;20,857
511,11;20,696
511,54;20,534
511,97;20,390
512,4;20,249
512,83;20,132
513,25;20,019
513,68;19,910
514,11;19,810
514,54;19,717
514,97;19,629
515,39;19,568
515,82;19,495
516,25;19,448
516,68;19,396
517,11;19,364
517,53;19,341
