Date;Conditions;X;Y;Z - 21 cm;Z - 51 cm;Z - 81 cm;Z - 111cm;Z - 105.4cm
02/02/2021;noFelt;5;1,6;71;223;200;172;
02/02/2021;noFelt;5;3,2;93;227;199;172;
02/02/2021;noFelt;5;4,8;114;234;199;170;
02/02/2021;noFelt;5;6,4;130;234;210;176;
02/02/2021;noFelt;5;8;147;239;206;175;
02/02/2021;noFelt;5;9,6;161;239;206;173;
02/02/2021;noFelt;5;11,2;181;237;214;179;
02/02/2021;noFelt;5;12,8;196;251;212;176;
02/02/2021;noFelt;5;14,4;209;254;220;180;
02/02/2021;noFelt;5;16;223;252;220;184;
02/02/2021;noFelt;5;17,6;231;267;219;183;
02/02/2021;noFelt;5;19,2;240;263;225;186;
02/02/2021;noFelt;5;20,8;260;273;229;190;
02/02/2021;noFelt;5;22,4;262;282;227;185;
02/02/2021;noFelt;5;24;275;279;238;192;
02/02/2021;noFelt;5;25,6;296;294;240;193;
02/02/2021;noFelt;5;27,2;304;304;243;194;
02/02/2021;noFelt;5;28,8;317;297;248;198;
02/02/2021;noFelt;5;30,4;331;308;242;195;
02/02/2021;noFelt;5;32;333;308;245;195;
02/02/2021;noFelt;5;33,6;354;306;249;200;
02/02/2021;noFelt;5;35,2;360;317;243;195;
02/02/2021;noFelt;5;36,8;366;319;250;197;
02/02/2021;noFelt;5;38,4;385;316;250;200;
02/02/2021;noFelt;5;40;388;329;247;196;
02/02/2021;noFelt;5;41,6;390;327;256;201;
02/02/2021;noFelt;5;43,2;408;332;257;203;
02/02/2021;noFelt;5;44,8;398;339;251;197;
02/02/2021;noFelt;5;46,4;397;334;262;205;
02/02/2021;noFelt;5;48;414;343;259;204;
02/02/2021;noFelt;5;49,6;394;347;257;199;
02/02/2021;noFelt;5;51,2;393;339;263;206;
02/02/2021;noFelt;5;52,8;400;343;258;203;
02/02/2021;noFelt;5;54,4;391;351;259;201;
02/02/2021;noFelt;5;56;379;336;258;202;
02/02/2021;noFelt;5;57,6;393;349;259;202;
02/02/2021;noFelt;5;59,2;379;353;263;203;
02/02/2021;noFelt;5;60,8;373;338;259;202;
02/02/2021;noFelt;5;62,4;376;344;254;198;
02/02/2021;noFelt;5;64;369;349;264;203;
02/02/2021;noFelt;5;65,6;371;342;262;204;
02/02/2021;noFelt;5;67,2;368;348;259;200;
02/02/2021;noFelt;5;68,8;356;344;264;205;
02/02/2021;noFelt;5;70,4;367;346;265;207;
02/02/2021;noFelt;5;72;355;349;263;202;
02/02/2021;noFelt;5;73,6;341;338;263;204;
02/02/2021;noFelt;5;75,2;346;341;262;204;
02/02/2021;noFelt;5;76,8;335;342;262;201;
02/02/2021;noFelt;5;78,4;326;339;266;208;
02/02/2021;noFelt;5;80;320;331;256;199;
02/02/2021;noFelt;5;81,6;309;340;264;203;
02/02/2021;noFelt;5;83,2;293;324;257;201;
02/02/2021;noFelt;5;84,8;288;317;250;194;
02/02/2021;noFelt;5;86,4;273;321;255;197;
02/02/2021;noFelt;5;88;259;306;246;193;
02/02/2021;noFelt;5;89,6;253;304;244;190;
02/02/2021;noFelt;5;91,2;239;306;250;194;
02/02/2021;noFelt;5;92,8;236;301;247;194;
02/02/2021;noFelt;5;94,4;228;300;247;191;
02/02/2021;noFelt;5;96;213;298;249;194;
02/02/2021;noFelt;5;97,6;205;288;242;187;
02/02/2021;noFelt;5;99,2;196;290;244;186;
02/02/2021;noFelt;5;100,8;182;285;243;186;
02/02/2021;noFelt;5;102,4;179;278;238;181;
02/02/2021;noFelt;10;1,6;89;234;202;172;
02/02/2021;noFelt;10;3,2;111;241;208;175;
