Date;Plant;X;Y;Z_Tip-105.4cm;Z_Tip-91.5cm
03/05/2021;P2;-43;1,6;145;
03/05/2021;P2;-43;3,2;148;
03/05/2021;P2;-43;4,8;147;
03/05/2021;P2;-43;6,4;151;
03/05/2021;P2;-43;8;149;
03/05/2021;P2;-43;9,6;145;
03/05/2021;P2;-43;11,2;147;
03/05/2021;P2;-43;12,8;146;
03/05/2021;P2;-43;14,4;147;
03/05/2021;P2;-43;16;147;
03/05/2021;P2;-43;17,6;142;
03/05/2021;P2;-43;19,2;141;
03/05/2021;P2;-43;20,8;145;
03/05/2021;P2;-43;22,4;143;
03/05/2021;P2;-43;24;143;
03/05/2021;P2;-43;25,6;141;
03/05/2021;P2;-43;27,2;141;
03/05/2021;P2;-43;28,8;142;
03/05/2021;P2;-43;30,4;139;
03/05/2021;P2;-43;32;138;
03/05/2021;P2;-43;33,6;144;
03/05/2021;P2;-43;35,2;147;
03/05/2021;P2;-43;36,8;153;
03/05/2021;P2;-43;38,4;157;
03/05/2021;P2;-43;40;158;
03/05/2021;P2;-43;41,6;162;
03/05/2021;P2;-43;43,2;167;
03/05/2021;P2;-43;44,8;162;
03/05/2021;P2;-43;46,4;165;
03/05/2021;P2;-43;48;162;
03/05/2021;P2;-43;49,6;161;
03/05/2021;P2;-43;51,2;170;
03/05/2021;P2;-43;52,8;168;
03/05/2021;P2;-43;54,4;163;
03/05/2021;P2;-43;56;161;
03/05/2021;P2;-43;57,6;162;
03/05/2021;P2;-43;59,2;164;
03/05/2021;P2;-43;60,8;161;
03/05/2021;P2;-43;62,4;149;
03/05/2021;P2;-43;64;148;
03/05/2021;P2;-43;65,6;145;
03/05/2021;P2;-43;67,2;140;
03/05/2021;P2;-43;68,8;134;
03/05/2021;P2;-43;70,4;127;
03/05/2021;P2;-43;72;123;
03/05/2021;P2;-43;73,6;130;
03/05/2021;P2;-43;75,2;140;
03/05/2021;P2;-43;76,8;143;
03/05/2021;P2;-43;78,4;143;
03/05/2021;P2;-43;80;140;
03/05/2021;P2;-43;81,6;143;
03/05/2021;P2;-43;83,2;143;
03/05/2021;P2;-43;84,8;140;
03/05/2021;P2;-43;86,4;141;
03/05/2021;P2;-43;88;137;
03/05/2021;P2;-43;89,6;134;
03/05/2021;P2;-43;91,2;136;
03/05/2021;P2;-43;92,8;136;
03/05/2021;P2;-43;94,4;135;
03/05/2021;P2;-43;96;137;
03/05/2021;P2;-43;97,6;134;
03/05/2021;P2;-43;99,2;131;
03/05/2021;P2;-43;100,8;133;
03/05/2021;P2;-43;102,4;131;
03/05/2021;P2;-38;1,6;145;
03/05/2021;P2;-38;3,2;149;
03/05/2021;P2;-38;4,8;154;
03/05/2021;P2;-38;6,4;154;
03/05/2021;P2;-38;8;156;
03/05/2021;P2;-38;9,6;155;
03/05/2021;P2;-38;11,2;152;
03/05/2021;P2;-38;12,8;157;
03/05/2021;P2;-38;14,4;158;
03/05/2021;P2;-38;16;153;
03/05/2021;P2;-38;17,6;155;
03/05/2021;P2;-38;19,2;149;
03/05/2021;P2;-38;20,8;151;
03/05/2021;P2;-38;22,4;150;
03/05/2021;P2;-38;24;141;
03/05/2021;P2;-38;25,6;140;
03/05/2021;P2;-38;27,2;137;
03/05/2021;P2;-38;28,8;127;
03/05/2021;P2;-38;30,4;127;
03/05/2021;P2;-38;32;129;
03/05/2021;P2;-38;33,6;134;
03/05/2021;P2;-38;35,2;140;
03/05/2021;P2;-38;36,8;135;
03/05/2021;P2;-38;38,4;134;
03/05/2021;P2;-38;40;142;
03/05/2021;P2;-38;41,6;139;
03/05/2021;P2;-38;43,2;138;
03/05/2021;P2;-38;44,8;136;
03/05/2021;P2;-38;46,4;138;
03/05/2021;P2;-38;48;148;
03/05/2021;P2;-38;49,6;134;
03/05/2021;P2;-38;51,2;132;
03/05/2021;P2;-38;52,8;137;
03/05/2021;P2;-38;54,4;141;
03/05/2021;P2;-38;56;130;
03/05/2021;P2;-38;57,6;143;
03/05/2021;P2;-38;59,2;141;
03/05/2021;P2;-38;60,8;129;
03/05/2021;P2;-38;62,4;121;
03/05/2021;P2;-38;64;117;
03/05/2021;P2;-38;65,6;115;
03/05/2021;P2;-38;67,2;120;
03/05/2021;P2;-38;68,8;117;
03/05/2021;P2;-38;70,4;117;
03/05/2021;P2;-38;72;117;
03/05/2021;P2;-38;73,6;116;
03/05/2021;P2;-38;75,2;125;
03/05/2021;P2;-38;76,8;127;
03/05/2021;P2;-38;78,4;131;
03/05/2021;P2;-38;80;133;
03/05/2021;P2;-38;81,6;135;
03/05/2021;P2;-38;83,2;139;
03/05/2021;P2;-38;84,8;139;
03/05/2021;P2;-38;86,4;133;
03/05/2021;P2;-38;88;132;
03/05/2021;P2;-38;89,6;132;
03/05/2021;P2;-38;91,2;130;
03/05/2021;P2;-38;92,8;137;
03/05/2021;P2;-38;94,4;136;
03/05/2021;P2;-38;96;133;
03/05/2021;P2;-38;97,6;134;
03/05/2021;P2;-38;99,2;129;
03/05/2021;P2;-38;100,8;130;
03/05/2021;P2;-38;102,4;134;
03/05/2021;P2;-33;1,6;144;
03/05/2021;P2;-33;3,2;146;
03/05/2021;P2;-33;4,8;152;
03/05/2021;P2;-33;6,4;152;
03/05/2021;P2;-33;8;153;
03/05/2021;P2;-33;9,6;152;
03/05/2021;P2;-33;11,2;149;
03/05/2021;P2;-33;12,8;154;
03/05/2021;P2;-33;14,4;155;
03/05/2021;P2;-33;16;150;
03/05/2021;P2;-33;17,6;152;
03/05/2021;P2;-33;19,2;146;
03/05/2021;P2;-33;20,8;148;
03/05/2021;P2;-33;22,4;150;
03/05/2021;P2;-33;24;142;
03/05/2021;P2;-33;25,6;145;
03/05/2021;P2;-33;27,2;147;
03/05/2021;P2;-33;28,8;143;
03/05/2021;P2;-33;30,4;144;
03/05/2021;P2;-33;32;140;
03/05/2021;P2;-33;33,6;136;
03/05/2021;P2;-33;35,2;135;
03/05/2021;P2;-33;36,8;131;
03/05/2021;P2;-33;38,4;138;
03/05/2021;P2;-33;40;144;
03/05/2021;P2;-33;41,6;132;
03/05/2021;P2;-33;43,2;132;
03/05/2021;P2;-33;44,8;134;
03/05/2021;P2;-33;46,4;137;
03/05/2021;P2;-33;48;140;
03/05/2021;P2;-33;49,6;121;
03/05/2021;P2;-33;51,2;101;
03/05/2021;P2;-33;52,8;102;
03/05/2021;P2;-33;54,4;91;
03/05/2021;P2;-33;56;89;
03/05/2021;P2;-33;57,6;98;
03/05/2021;P2;-33;59,2;98;
03/05/2021;P2;-33;60,8;105;
03/05/2021;P2;-33;62,4;111;
03/05/2021;P2;-33;64;118;
03/05/2021;P2;-33;65,6;125;
03/05/2021;P2;-33;67,2;121;
03/05/2021;P2;-33;68,8;111;
03/05/2021;P2;-33;70,4;110;
03/05/2021;P2;-33;72;111;
03/05/2021;P2;-33;73,6;116;
03/05/2021;P2;-33;75,2;129;
03/05/2021;P2;-33;76,8;126;
03/05/2021;P2;-33;78,4;126;
03/05/2021;P2;-33;80;131;
03/05/2021;P2;-33;81,6;133;
03/05/2021;P2;-33;83,2;134;
03/05/2021;P2;-33;84,8;136;
03/05/2021;P2;-33;86,4;134;
03/05/2021;P2;-33;88;135;
03/05/2021;P2;-33;89,6;135;
03/05/2021;P2;-33;91,2;131;
03/05/2021;P2;-33;92,8;133;
03/05/2021;P2;-33;94,4;130;
03/05/2021;P2;-33;96;123;
03/05/2021;P2;-33;97,6;125;
03/05/2021;P2;-33;99,2;126;
03/05/2021;P2;-33;100,8;122;
03/05/2021;P2;-33;102,4;124;
03/05/2021;P2;-28;1,6;140;
03/05/2021;P2;-28;3,2;146;
03/05/2021;P2;-28;4,8;145;
03/05/2021;P2;-28;6,4;146;
03/05/2021;P2;-28;8;148;
03/05/2021;P2;-28;9,6;145;
03/05/2021;P2;-28;11,2;147;
03/05/2021;P2;-28;12,8;153;
03/05/2021;P2;-28;14,4;153;
03/05/2021;P2;-28;16;151;
03/05/2021;P2;-28;17,6;147;
03/05/2021;P2;-28;19,2;140;
03/05/2021;P2;-28;20,8;144;
03/05/2021;P2;-28;22,4;140;
03/05/2021;P2;-28;24;133;
03/05/2021;P2;-28;25,6;135;
03/05/2021;P2;-28;27,2;133;
03/05/2021;P2;-28;28,8;131;
03/05/2021;P2;-28;30,4;132;
03/05/2021;P2;-28;32;129;
03/05/2021;P2;-28;33,6;138;
03/05/2021;P2;-28;35,2;141;
03/05/2021;P2;-28;36,8;127;
03/05/2021;P2;-28;38,4;119;
03/05/2021;P2;-28;40;115;
03/05/2021;P2;-28;41,6;108;
03/05/2021;P2;-28;43,2;104;
03/05/2021;P2;-28;44,8;91;
03/05/2021;P2;-28;46,4;85;
03/05/2021;P2;-28;48;85;
03/05/2021;P2;-28;49,6;75;
03/05/2021;P2;-28;51,2;69;
03/05/2021;P2;-28;52,8;68;
03/05/2021;P2;-28;54,4;70;
03/05/2021;P2;-28;56;67;
03/05/2021;P2;-28;57,6;89;
03/05/2021;P2;-28;59,2;90;
03/05/2021;P2;-28;60,8;97;
03/05/2021;P2;-28;62,4;104;
03/05/2021;P2;-28;64;116;
03/05/2021;P2;-28;65,6;125;
03/05/2021;P2;-28;67,2;118;
03/05/2021;P2;-28;68,8;115;
03/05/2021;P2;-28;70,4;109;
03/05/2021;P2;-28;72;111;
03/05/2021;P2;-28;73,6;121;
03/05/2021;P2;-28;75,2;129;
03/05/2021;P2;-28;76,8;125;
03/05/2021;P2;-28;78,4;132;
03/05/2021;P2;-28;80;137;
03/05/2021;P2;-28;81,6;137;
03/05/2021;P2;-28;83,2;139;
03/05/2021;P2;-28;84,8;137;
03/05/2021;P2;-28;86,4;132;
03/05/2021;P2;-28;88;125;
03/05/2021;P2;-28;89,6;113;
