MPV1_time;CO2_dry_MPV1;delta13C_MPV1;MPV2_time;CO2_dry_MPV2;delta13C_MPV2;CO2_differential_ppm;flow_m3_h;surface_m2;flux_umol_s;d13C_differential
01/03/2021 13:31;574.708134;-27.69610596;01/03/2021 13:36;445.8297471;-14.11737671;128.8783869;4.9;1;7.826262374;-13.57872925
01/03/2021 13:41;552.6142653;-22.44179644;01/03/2021 13:46;453.6924416;-17.63540161;98.92182374;4.9;1;6.00712164;-4.806394828
01/03/2021 13:51;615.3999599;-25.12888132;01/03/2021 13:56;439.8489039;-23.96308524;175.551056;4.9;1;10.6605045;-1.165796078
01/03/2021 14:01;533.3465378;-29.60358924;01/03/2021 14:06;430.225521;-28.50986723;103.1210168;4.9;1;6.262121624;-1.093722004
01/03/2021 14:11;475.7020441;-33.4423511;01/03/2021 14:16;423.4898009;-32.00143126;52.21224317;4.9;1;3.170638025;-1.440919841
01/03/2021 14:21;444.6942599;-36.1586652;01/03/2021 14:26;418.8927444;-34.30472962;25.80151559;4.9;1;1.566821524;-1.85393558
01/03/2021 14:31;428.7631664;-37.32807278;01/03/2021 14:36;415.6756417;-35.90106864;13.08752473;4.9;1;0.794752362;-1.427004143
01/03/2021 14:41;420.2588181;-38.23408586;01/03/2021 14:46;413.4086779;-36.8009346;6.850140168;4.9;1;0.415981264;-1.433151256
01/03/2021 14:51;415.4038984;-38.64312054;01/03/2021 14:56;411.8044758;-37.59139414;3.599422596;4.9;1;0.218578354;-1.051726392
01/03/2021 15:01;427.5731514;-36.1915045;01/03/2021 15:06;466.6694779;-15.17560926;-39.0963265;4.9;1;-2.374161536;-21.01589525
01/03/2021 15:11;444.3955622;-31.78911948;01/03/2021 15:16;448.1327106;-22.21015718;-3.737148434;4.9;1;-0.226941886;-9.5789623
01/03/2021 15:21;432.1257447;-34.15470737;01/03/2021 15:26;511.5773502;-16.10960227;-79.45160557;4.9;1;-4.824774161;-18.04510509
01/03/2021 15:31;438.5108691;-32.93930465;01/03/2021 15:36;482.216071;-16.1883549;-43.70520192;4.9;1;-2.65403987;-16.75094975
01/03/2021 15:41;446.7655963;-31.1581189;01/03/2021 15:46;456.0950049;-22.78831007;-9.329408625;4.9;1;-0.566537194;-8.369808834
01/03/2021 15:51;432.9432403;-34.00718097;01/03/2021 15:56;440.5624159;-27.75244919;-7.619175599;4.9;1;-0.46268167;-6.254731781
01/03/2021 16:01;422.2109222;-36.40291033;01/03/2021 16:06;429.8885824;-31.31761456;-7.677660259;4.9;1;-0.466233207;-5.085295765
01/03/2021 16:11;415.7917342;-37.71613406;01/03/2021 16:16;545.7668775;-17.66030073;-129.9751432;4.9;1;-7.892863942;-20.05583334
