Time,Plant,Scenario,flux
2021-04-01T20:39:16.310100Z,P1,800ppm,3.5602
2021-04-01T20:49:15.154700Z,P1,800ppm,2.0517
2021-04-01T20:59:14.556300Z,P1,800ppm,-0.2115
2021-04-01T22:09:13.839700Z,P1,800ppm,-0.8851
2021-04-01T22:19:12.802400Z,P1,800ppm,-0.7701
2021-04-01T22:29:12.460200Z,P1,800ppm,-0.6843
2021-04-01T22:39:11.749700Z,P1,800ppm,-0.6246
2021-04-01T22:49:12.236800Z,P1,800ppm,-0.5761
2021-04-01T22:59:12.526700Z,P1,800ppm,-0.5414
2021-04-01T23:09:12.284400Z,P1,800ppm,-0.5123
2021-04-01T23:19:11.296500Z,P1,800ppm,-0.4862
2021-04-01T23:29:12.590200Z,P1,800ppm,-0.4666
2021-04-01T23:39:11.046700Z,P1,800ppm,-0.4511
2021-04-01T23:49:10.879Z,P1,800ppm,-0.4522
2021-04-01T23:59:10.777500Z,P1,800ppm,-0.4403
2021-04-01T23:59:10.777500Z,P1,800ppm,-0.4403
2021-04-01T23:59:10.777500Z,P1,800ppm,-0.4403
2021-04-02T13:58:48.109600Z,P1,DryCold,-0.043
2021-04-02T15:08:45.301Z,P5,DryCold,-0.4735
2021-04-02T15:18:44.801200Z,P5,DryCold,0.399
2021-04-02T15:28:44.267600Z,P5,DryCold,0.9562
2021-04-02T15:38:44.407Z,P5,DryCold,1.3082
2021-04-02T15:48:44.351900Z,P5,DryCold,1.5306
2021-04-02T15:58:43.295Z,P5,DryCold,1.6645
2021-04-02T16:08:43.926700Z,P5,DryCold,1.7553
2021-04-02T16:18:43.418Z,P5,DryCold,1.8135
2021-04-02T16:28:42.713500Z,P5,DryCold,1.8457
2021-04-02T16:38:42.597100Z,P5,DryCold,1.8614
2021-04-02T16:38:42.597100Z,P5,DryCold,1.8614
2021-04-02T16:38:42.597100Z,P5,DryCold,1.8614
2021-04-03T20:27:52.700900Z,P5,Cold,-0.9956
2021-04-03T20:37:52.323300Z,P5,Cold,0.9305
2021-04-03T20:47:53.093700Z,P5,Cold,1.4445
2021-04-03T20:57:52.548500Z,P5,Cold,1.4061
2021-04-03T21:07:52.464200Z,P5,Cold,1.178
2021-04-03T21:17:51.876400Z,P5,Cold,0.8955
2021-04-03T21:27:52.019900Z,P5,Cold,0.6605
2021-04-03T21:37:50.189200Z,P5,Cold,0.4493
2021-04-03T21:47:51.023600Z,P5,Cold,0.2914
2021-04-03T21:57:50.214200Z,P5,Cold,0.1713
2021-04-03T22:07:50.130400Z,P5,Cold,0.0902
2021-04-03T22:17:50.231Z,P5,Cold,0.0342
2021-04-03T22:27:49.650800Z,P5,Cold,-0.0243
2021-04-03T22:37:48.486900Z,P5,Cold,-0.0611
2021-04-03T22:47:49.004900Z,P5,Cold,-0.0886
2021-04-03T22:57:49.325Z,P5,Cold,-0.1114
2021-04-03T23:07:48.164100Z,P5,Cold,-0.1169
2021-04-03T23:17:47.740800Z,P5,Cold,-0.1232
2021-04-03T23:27:46.955Z,P5,Cold,-0.1363
2021-04-03T23:37:47.486600Z,P5,Cold,-0.1413
2021-04-03T23:47:46.609Z,P5,Cold,-0.1397
2021-04-03T23:57:45.930500Z,P5,Cold,-0.1411
2021-04-03T23:57:45.930500Z,P5,Cold,-0.1411
2021-04-03T23:57:45.930500Z,P5,Cold,-0.1411
2021-04-04T19:57:11.788900Z,P5,800ppm,-0.2588
2021-04-04T20:07:10.636300Z,P5,800ppm,-0.092
2021-04-04T20:17:11.679300Z,P5,800ppm,3.6208
2021-04-04T20:27:11.881Z,P5,800ppm,0.9193
2021-04-04T20:37:10.245200Z,P5,800ppm,-0.6467
2021-04-04T21:27:09.175900Z,P5,800ppm,-0.9484
2021-04-04T21:37:07.956600Z,P5,800ppm,-0.7999
2021-04-04T21:47:07.443300Z,P5,800ppm,-0.6775
2021-04-04T21:57:08.518100Z,P5,800ppm,-0.5821
2021-04-04T22:07:08.062800Z,P5,800ppm,-0.5033
2021-04-04T22:17:08.025200Z,P5,800ppm,-0.4459
2021-04-04T22:27:07.074200Z,P5,800ppm,-0.4083
2021-04-04T22:37:07.624400Z,P5,800ppm,-0.3822
