Date;Scenario;Plant;Ref
02/03/2021;400ppm;P1;
03/03/2021;Cloudy;P1;
04/03/2021;600ppm;P1;
05/03/2021;400ppm;P2;
06/03/2021;Cloudy;P2;
07/03/2021;600ppm;P2;
09/03/2021;400ppm;P3;
10/03/2021;Cloudy;P3;
11/03/2021;400ppm;P3;
12/03/2021;400ppm;P5;T
13/03/2021;Cloudy;P5;T
14/03/2021;600ppm;P5;T
15/03/2021;400ppm;;
16/03/2021;400ppm;P1;T
17/03/2021;Cloudy;P1;T
18/03/2021;600ppm;P1;T
19/03/2021;400ppm;P2;T
20/03/2021;Cloudy;P2;T
21/03/2021;600ppm;P2;T
22/03/2021;400ppm;;
23/03/2021;400ppm;P3;T
24/03/2021;Cloudy;P3;T
25/03/2021;600ppm;P3;T
26/03/2021;400ppm;;
27/03/2021;Cold;P5;
28/03/2021;800ppm;P5;
29/03/2021;DryCold;P5;
30/03/2021;400ppm;;
31/03/2021;Cold;P1;T
01/04/2021;800ppm;P1;T
02/04/2021;DryCold;P1;
03/04/2021;Cold;P5;T
04/04/2021;800ppm;P5;T
05/04/2021;DryCold;P5;T
06/04/2021;Hot;P5;T
07/04/2021;DryHot;P5;T
08/04/2021;Cold;P2;
09/04/2021;800ppm;P2;T
10/04/2021;DryCold;P2;T
11/04/2021;Hot;P2;T
12/04/2021;DryHot;P2;T
13/04/2021;400ppm;;
14/04/2021;Cold;P3;T
15/04/2021;800ppm;P3;T
16/04/2021;DryCold;P3;T
17/04/2021;Hot;P3;T
18/04/2021;DryHot;P3;T
19/04/2021;400ppm;;
20/04/2021;400ppm;P1;
21/04/2021;Cold;P2;T
22/04/2021;Hot;P5;
23/04/2021;DryHot;P5;
24/04/2021;Hot;P1;T
25/04/2021;DryHot;P1;T
26/04/2021;400ppm;;
27/04/2021;TestLight;;
28/04/2021;TestLight;;
29/04/2021;TestLight;;
30/04/2021;TestLight;;
01/05/2021;DryCold;P1;T
02/05/2021;800ppm;P1;
03/05/2021;600ppm;;
