Date,Plant,event,Scenario
2021-03-01,P1,Response curves,400ppm
2021-03-01,P2,Storage,
2021-03-01,P3,Storage,
2021-03-01,P4,Storage,
2021-03-02,P1,S1,400ppm
2021-03-02,P2,Storage,
2021-03-02,P3,Response curves,
2021-03-02,P4,Storage,
2021-03-03,P1,S2,600ppm
2021-03-03,P1,S2,LowPAR
2021-03-03,P2,Response curves,
2021-03-03,P3,Storage,
2021-03-03,P4,Storage,
2021-03-04,P1,S3,600ppm
2021-03-04,P2,Response curves,
2021-03-04,P3,Storage,
2021-03-04,P4,Storage,
2021-03-05,P1,Storage,600ppm
2021-03-05,P2,S1,400ppm
2021-03-05,P3,Storage,
2021-03-05,P4,Response curves,
2021-03-06,P1,Storage,
2021-03-06,P2,S2,600ppm
2021-03-06,P2,S2,LowPAR
2021-03-06,P3,Storage,
2021-03-06,P4,Storage,
2021-03-07,P1,Storage,
2021-03-07,P2,S3,600ppm
2021-03-07,P3,Storage,
2021-03-07,P4,Storage,
2021-03-08,P1,Storage,
2021-03-08,P2,Storage,
2021-03-08,P3,Response curves,
2021-03-08,P4,Storage,
2021-03-09,P1,Response curves,
2021-03-09,P2,Storage,
2021-03-09,P3,S1,400ppm
2021-03-09,P4,Storage,
2021-03-10,P1,Storage,
2021-03-10,P2,Response curves,
2021-03-10,P3,S2,LowPAR
2021-03-10,P4,Storage,
2021-03-11,P1,Storage,
2021-03-11,P2,Storage,
2021-03-11,P3,S3,400ppm
2021-03-11,P4,Response curves,400ppm
2021-03-12,P1,Storage,
2021-03-12,P2,Storage,
2021-03-12,P3,Response curves,
2021-03-12,P4,S1,400ppm
2021-03-13,P1,Storage,
2021-03-13,P2,Storage,
2021-03-13,P3,Storage,
2021-03-13,P4,S2,600ppm
2021-03-13,P4,S2,LowPAR
2021-03-14,P1,Storage,
2021-03-14,P2,Storage,
2021-03-14,P3,Storage,
2021-03-14,P4,S3,600ppm
2021-03-15,P1,Response curves,400ppm
2021-03-15,P1,3D,400ppm
2021-03-15,P2,Storage,
2021-03-15,P2,3D,
2021-03-15,P3,Storage,
2021-03-15,P3,Storage,
2021-03-15,P4,3D,400ppm
2021-03-15,P4,Storage,400ppm
2021-03-15,P4,Storage,600ppm
2021-03-15,P4,3D,600ppm
2021-03-16,P1,S1,400ppm
2021-03-16,P2,Storage,
2021-03-16,P3,Response curves,
2021-03-16,P4,Storage,
2021-03-17,P1,S2,600ppm
2021-03-17,P1,S2,LowPAR
2021-03-17,P2,Storage,
2021-03-17,P3,Storage,
2021-03-17,P4,Response curves,
2021-03-18,P1,S3,600ppm
2021-03-18,P2,Response curves,400ppm
2021-03-18,P3,Storage,
2021-03-18,P4,Storage,
