DateTime_start,DateTime_end,Sequence,DateTime_start_sequence,DateTime_end_sequence,Scenario_actual,outlier
2021-03-01T18:13:30Z,2021-03-01T18:18:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T18:23:30Z,2021-03-01T18:28:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T18:33:30Z,2021-03-01T18:38:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T18:43:30Z,2021-03-01T18:48:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T18:53:30Z,2021-03-01T18:58:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T19:03:30Z,2021-03-01T19:08:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T19:13:30Z,2021-03-01T19:18:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T19:23:30Z,2021-03-01T19:28:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T19:33:30Z,2021-03-01T19:38:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T19:43:30Z,2021-03-01T19:48:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T19:53:30Z,2021-03-01T19:58:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T20:03:30Z,2021-03-01T20:08:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T20:13:30Z,2021-03-01T20:18:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T20:23:30Z,2021-03-01T20:28:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T20:33:30Z,2021-03-01T20:38:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T20:43:30Z,2021-03-01T20:48:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T20:53:30Z,2021-03-01T20:58:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T21:03:30Z,2021-03-01T21:08:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-01T21:13:30Z,2021-03-01T21:18:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
