DateTime_start_input,DateTime_end_input,DateTime_start_output,DateTime_end_output,CO2_dry_input,CO2_dry_output,CO2_flux_umol_s
2021-03-01T14:28:30.0,2021-03-01T14:33:30.0,2021-03-01T14:33:30.0,2021-03-01T14:38:30.0,428.7631664,415.6756417,0.794752362
2021-03-01T18:08:30.0,2021-03-01T18:13:30.0,2021-03-01T18:13:30.0,2021-03-01T18:18:30.0,407.3900504,377.5284988,1.813371065
2021-03-01T18:18:30.0,2021-03-01T18:23:30.0,2021-03-01T18:23:30.0,2021-03-01T18:28:30.0,407.1491239,377.8925716,1.776631905
2021-03-01T18:28:30.0,2021-03-01T18:33:30.0,2021-03-01T18:33:30.0,2021-03-01T18:38:30.0,406.9016581,378.8100779,1.705887872
2021-03-01T18:38:30.0,2021-03-01T18:43:30.0,2021-03-01T18:43:30.0,2021-03-01T18:48:30.0,406.7304428,380.2456711,1.608312897
2021-03-01T18:48:30.0,2021-03-01T18:53:30.0,2021-03-01T18:53:30.0,2021-03-01T18:58:30.0,406.7188057,382.0560423,1.497669718
2021-03-01T18:58:30.0,2021-03-01T19:03:30.0,2021-03-01T19:03:30.0,2021-03-01T19:08:30.0,406.7682835,384.3191924,1.363242361
2021-03-01T19:08:30.0,2021-03-01T19:13:30.0,2021-03-01T19:13:30.0,2021-03-01T19:18:30.0,406.9229208,386.4360287,1.24408597
2021-03-01T19:18:30.0,2021-03-01T19:23:30.0,2021-03-01T19:23:30.0,2021-03-01T19:28:30.0,407.2151058,388.4897175,1.13711698
2021-03-01T19:28:30.0,2021-03-01T19:33:30.0,2021-03-01T19:33:30.0,2021-03-01T19:38:30.0,407.4319907,390.3538864,1.037084094
2021-03-01T19:38:30.0,2021-03-01T19:43:30.0,2021-03-01T19:43:30.0,2021-03-01T19:48:30.0,407.6176669,392.2219542,0.93491927
2021-03-01T19:48:30.0,2021-03-01T19:53:30.0,2021-03-01T19:53:30.0,2021-03-01T19:58:30.0,407.7289621,394.0409973,0.831214653
2021-03-01T19:58:30.0,2021-03-01T20:03:30.0,2021-03-01T20:03:30.0,2021-03-01T20:08:30.0,407.8442304,395.8822023,0.726405515
2021-03-01T20:08:30.0,2021-03-01T20:13:30.0,2021-03-01T20:13:30.0,2021-03-01T20:18:30.0,407.8854872,397.7528674,0.615312957
2021-03-01T20:18:30.0,2021-03-01T20:23:30.0,2021-03-01T20:23:30.0,2021-03-01T20:28:30.0,407.9504508,399.566013,0.509152944
2021-03-01T20:28:30.0,2021-03-01T20:33:30.0,2021-03-01T20:33:30.0,2021-03-01T20:38:30.0,408.0012465,400.9837905,0.426141672
2021-03-01T20:38:30.0,2021-03-01T20:43:30.0,2021-03-01T20:43:30.0,2021-03-01T20:48:30.0,408.0595623,402.1344027,0.359810939
2021-03-01T20:48:30.0,2021-03-01T20:53:30.0,2021-03-01T20:53:30.0,2021-03-01T20:58:30.0,408.0930285,402.9018204,0.315241039
2021-03-01T20:58:30.0,2021-03-01T21:03:30.0,2021-03-01T21:03:30.0,2021-03-01T21:08:30.0,408.1225139,404.2915063,0.232641574
2021-03-01T21:08:30.0,2021-03-01T21:13:30.0,2021-03-01T21:13:30.0,2021-03-01T21:18:30.0,408.0941099,406.1508346,0.118007242
2021-03-01T21:18:30.0,2021-03-01T21:23:30.0,2021-03-01T21:23:30.0,2021-03-01T21:28:30.0,407.9016936,407.2425636,0.040026298
2021-03-01T21:28:30.0,2021-03-01T21:33:30.0,2021-03-01T21:33:30.0,2021-03-01T21:38:30.0,407.6643613,407.907689,-0.014776308
2021-03-01T21:38:30.0,2021-03-01T21:43:30.0,2021-03-01T21:43:30.0,2021-03-01T21:48:30.0,407.4258605,408.2145343,-0.047892965
2021-03-01T21:48:30.0,2021-03-01T21:53:30.0,2021-03-01T21:53:30.0,2021-03-01T21:58:30.0,407.3087567,408.4637302,-0.070136862
2021-03-01T21:58:30.0,2021-03-01T22:03:30.0,2021-03-01T22:03:30.0,2021-03-01T22:08:30.0,407.1345761,408.561485,-0.0866504
2021-03-01T22:08:30.0,2021-03-01T22:13:30.0,2021-03-01T22:13:30.0,2021-03-01T22:18:30.0,406.9280526,408.5628042,-0.099271837
2021-03-01T22:18:30.0,2021-03-01T22:23:30.0,2021-03-01T22:23:30.0,2021-03-01T22:28:30.0,406.8308587,408.6576397,-0.11093301
2021-03-01T22:28:30.0,2021-03-01T22:33:30.0,2021-03-01T22:33:30.0,2021-03-01T22:38:30.0,406.7922736,408.716744,-0.116865288
2021-03-01T22:38:30.0,2021-03-01T22:43:30.0,2021-03-01T22:43:30.0,2021-03-01T22:48:30.0,406.8266725,408.8381525,-0.12214903
2021-03-01T22:48:30.0,2021-03-01T22:53:30.0,2021-03-01T22:53:30.0,2021-03-01T22:58:30.0,406.8736833,408.9550988,-0.126395928
2021-03-01T22:58:30.0,2021-03-01T23:03:30.0,2021-03-01T23:03:30.0,2021-03-01T23:08:30.0,406.902935,408.9945873,-0.127017574
2021-03-01T23:08:30.0,2021-03-01T23:13:30.0,2021-03-01T23:13:30.0,2021-03-01T23:18:30.0,406.9001602,409.0586555,-0.131076673
2021-03-01T23:18:30.0,2021-03-01T23:23:30.0,2021-03-01T23:23:30.0,2021-03-01T23:28:30.0,406.8076713,409.0339203,-0.135191086
2021-03-01T23:28:30.0,2021-03-01T23:33:30.0,2021-03-01T23:33:30.0,2021-03-01T23:38:30.0,406.7408119,409.0587348,-0.140758066
2021-03-01T23:38:30.0,2021-03-01T23:43:30.0,2021-03-01T23:43:30.0,2021-03-01T23:48:30.0,406.7265871,409.1807069,-0.149028754
2021-03-01T23:48:30.0,2021-03-01T23:53:30.0,2021-03-01T23:53:30.0,2021-03-01T23:58:30.0,406.8367933,409.2977393,-0.149443282
2021-03-01T23:58:30.0,2021-03-02T00:03:30.0,2021-03-02T00:03:30.0,2021-03-02T00:08:30.0,406.9243396,409.4014648,-0.150425779
2021-03-02T00:08:30.0,2021-03-02T00:13:30.0,2021-03-02T00:13:30.0,2021-03-02T00:18:30.0,406.9993191,409.4626642,-0.149588969
2021-03-02T00:18:30.0,2021-03-02T00:23:30.0,2021-03-02T00:23:30.0,2021-03-02T00:28:30.0,406.9880261,409.4909439,-0.151992059
2021-03-02T00:28:30.0,2021-03-02T00:33:30.0,2021-03-02T00:33:30.0,2021-03-02T00:38:30.0,406.9031468,409.4443095,-0.154314519
2021-03-02T00:38:30.0,2021-03-02T00:43:30.0,2021-03-02T00:43:30.0,2021-03-02T00:48:30.0,406.9012467,409.4849416,-0.156897328
