plant,date_reconstruction,x,y,z
1,2021-03-15,0.015301889,-2.7005396,0.38154283
1,2021-03-30,-1.937298,0.18574814,0.5601245
1,2021-04-26,-1.220667,-1.162542,1.0129273
1,2021-05-04,-0.8921048,2.5134683,0.984051
2,2021-03-15,-0.68678874,-2.825756,0.5797837
2,2021-04-13,-0.51935875,-2.00049,0.43818003
2,2021-04-19,-1.9297738,0.1535742,0.6137637
2,2021-05-04,-1.877111,2.362449,0.9785434
3,2021-03-26,-1.4328455,-2.2093015,0.53489256
3,2021-04-13,-1.2232772,-0.82163095,0.6130216
3,2021-04-19,-2.1852245,-1.4809067,0.6145678
3,2021-05-04,-0.47299832,3.4556477,0.6347612
4,2021-03-15,-1.2391443,-1.5835303,0.579985
4,2021-03-30,-2.5069559,-0.7383859,0.64070493
4,2021-04-19,-2.729449,-0.68746996,0.611946
4,2021-05-04,-1.2833742,3.3747265,0.9930162
