Plant,DateTime_start,DateTime_end,Event
P1,2021-03-02T00:00:00.0,2021-03-05T08:30:00.0,transfer
P2,2021-03-05T08:56:01.0,2021-03-08T08:00:00.0,transfer
P3,2021-03-08T16:25:00.0,2021-03-11T15:39:29.0,transfer
P5,2021-03-11T16:00:21.0,2021-03-15T12:29:51.0,transfer
P1,2021-03-15T15:50:18.0,2021-03-18T14:54:28.0,droplets
P1,2021-03-18T14:55:08.0,2021-03-18T16:32:22.0,transfer
P2,2021-03-18T16:36:13.0,2021-03-22T14:52:48.0,transfer
P3,2021-03-22T15:10:29.0,2021-03-26T11:55:37.0,transfer
P5,2021-03-26T14:05:07.0,2021-03-27T01:23:32.0,stop_scale_over_weight
P5,2021-03-30T09:49:17.0,2021-03-30T11:54:47.0,transfer
P1,2021-03-30T13:30:26.0,2021-03-30T15:37:15.0,Irrig_out
P1,2021-03-30T15:43:31.0,2021-03-30T21:39:14.0,Irrig_out
P1,2021-03-30T21:45:15.0,2021-03-31T03:41:08.0,Irrig_out
P1,2021-03-31T03:48:15.0,2021-03-31T09:41:12.0,Clean_scale
P1,2021-03-31T09:50:15.0,2021-04-01T08:16:54.0,replace_pipe
P1,2021-04-01T08:18:17.0,2021-04-02T13:59:21.0,transfer
P5,2021-04-02T14:29:09.0,2021-04-07T03:04:33.0,stop_scale_over_weight
P5,2021-04-07T07:54:20.0,2021-04-08T07:06:35.0,transfer
P2,2021-04-08T11:51:01.0,2021-04-13T11:38:54.0,transfer
P3,2021-04-13T14:01:06.0,2021-04-19T07:05:28.0,transfer
P1,2021-04-20T08:37:15.0,2021-04-20T15:30:55.0,transfer
P2,2021-04-20T15:46:29.0,2021-04-21T14:38:30.0,transfer
P5,2021-04-21T15:08:30.0,2021-04-23T14:41:49.0,transfer
P1,2021-04-23T15:10:25.0,2021-04-26T07:26:55.0,transfer
P5,2021-04-26T13:59:12.0,2021-04-27T06:41:03.0,placing_walz
P5,2021-04-27T06:41:33.0,2021-04-27T06:59:33.0,placing_walz
P5,2021-04-27T07:05:16.0,2021-04-27T14:25:27.0,transfer
P1,2021-04-27T14:44:46.0,2021-04-28T07:06:48.0,placing_walz
P1,2021-04-28T07:09:51.0,2021-04-28T07:09:54.0,droplets
P1,2021-04-28T07:38:14.0,2021-04-28T14:12:13.0,transfer
P5,2021-04-28T14:33:33.0,2021-04-29T06:37:13.0,problem_solved
P5,2021-04-29T06:39:03.0,2021-04-29T14:17:07.0,transfer
P1,2021-04-29T14:41:34.0,2021-04-30T07:19:08.0,placing_walz
P1,2021-04-30T07:29:20.0,2021-05-03T07:20:19.0,finished
